time,Vvout_highq
8.406714766337636e-007,6.647302e-001
8.494968924362490e-007,6.626364e-001
8.604293417833767e-007,6.602827e-001
8.695356936337236e-007,6.585124e-001
8.755999163214877e-007,6.574315e-001
8.818207694997081e-007,6.563809e-001
8.889007476378603e-007,6.552075e-001
8.966303804497176e-007,6.539100e-001
9.044816948128894e-007,6.525306e-001
9.132872642115832e-007,6.508629e-001
9.245441777544715e-007,6.485519e-001
9.326700281049872e-007,6.467628e-001
9.394253704925427e-007,6.451980e-001
9.465904773847599e-007,6.434951e-001
9.546407959446399e-007,6.415716e-001
9.632432901075432e-007,6.395469e-001
9.722693989780312e-007,6.374994e-001
9.827701929044218e-007,6.352498e-001
9.952504527371591e-007,6.327360e-001
1.003642744440116e-006,6.311315e-001
1.011490561376330e-006,6.296774e-001
1.020322094225390e-006,6.280459e-001
1.029940551733535e-006,6.262325e-001
1.040319240498411e-006,6.241933e-001
1.053208152713514e-006,6.215383e-001
1.062395345493761e-006,6.195672e-001
1.070545095797251e-006,6.177706e-001
1.079631599549577e-006,6.157514e-001
1.090608757734546e-006,6.133329e-001
1.101310742746592e-006,6.110357e-001
1.114801723286633e-006,6.082430e-001
1.125917579329020e-006,6.060217e-001
1.135094095458983e-006,6.042344e-001
1.145092324752655e-006,6.023024e-001
1.157397076457366e-006,5.999026e-001
1.169497770490448e-006,5.974836e-001
1.185856268197098e-006,5.941186e-001
1.196702475803315e-006,5.918376e-001
1.207073146013355e-006,5.896344e-001
1.219554327649507e-006,5.869979e-001
1.233041780214723e-006,5.842012e-001
1.250020095160056e-006,5.807627e-001
1.261899362972171e-006,5.784039e-001
1.273418833239673e-006,5.761376e-001
1.287639318921161e-006,5.733262e-001
1.302777315039927e-006,5.702871e-001
1.323892425832456e-006,5.659780e-001
1.337509038333033e-006,5.631748e-001
1.351779937287278e-006,5.602448e-001
1.368958838127602e-006,5.567650e-001
1.390398848027130e-006,5.524871e-001
1.404765801021711e-006,5.496464e-001
1.420819571031342e-006,5.464699e-001
1.439878952880418e-006,5.426649e-001
1.466664676712267e-006,5.372753e-001
1.486684065410412e-006,5.332496e-001
1.509935147318260e-006,5.286149e-001
1.533217723165810e-006,5.240196e-001
1.551350310638706e-006,5.204542e-001
1.575758446140103e-006,5.156406e-001
1.600808756994943e-006,5.106795e-001
1.621281100909593e-006,5.066295e-001
1.651661711466908e-006,5.006587e-001
1.679517301635187e-006,4.952210e-001
1.704364502587958e-006,4.903820e-001
1.736426964442843e-006,4.841314e-001
1.767805123309537e-006,4.780243e-001
1.805668183604074e-006,4.706966e-001
1.841691143410738e-006,4.637629e-001
1.878539067789994e-006,4.566879e-001
1.958959887738321e-006,4.413227e-001
2.003987868623995e-006,4.327912e-001
2.051439164232780e-006,4.238372e-001
2.102818011667399e-006,4.141923e-001
2.169260518957003e-006,4.018081e-001
2.235737300113491e-006,3.895059e-001
2.306402825163015e-006,3.765313e-001
2.388973693762361e-006,3.615106e-001
2.473760135711477e-006,3.462399e-001
2.568083768381992e-006,3.294677e-001
2.724297347806690e-006,3.021243e-001
2.877645559373787e-006,2.757733e-001
3.034026741498784e-006,2.494958e-001
3.219594956180982e-006,2.190918e-001
3.429218785206214e-006,1.858497e-001
3.745552406231103e-006,1.380513e-001
4.240039153856854e-006,6.868378e-002
4.931460995414168e-006,-1.836959e-002
5.675823908759547e-006,-9.825324e-002
6.651414338977051e-006,-1.816352e-001
7.729089101998263e-006,-2.477897e-001
8.994630767487682e-006,-2.948979e-001
1.010059919192533e-005,-3.122728e-001
1.109220937203762e-005,-3.100283e-001
1.204750538464116e-005,-2.948576e-001
1.297345637238304e-005,-2.707359e-001
1.379482656785555e-005,-2.430652e-001
1.469333167185239e-005,-2.078397e-001
1.561361240254818e-005,-1.683820e-001
1.674703295322018e-005,-1.175572e-001
1.792401551068779e-005,-6.473842e-002
1.913152220150322e-005,-1.266942e-002
2.025539728257133e-005,3.196772e-002
2.147946274444886e-005,7.507747e-002
2.259368180320721e-005,1.088464e-001
2.348530734559710e-005,1.313050e-001
2.443742132955444e-005,1.504501e-001
2.548349852028807e-005,1.659016e-001
2.681960649753022e-005,1.778068e-001
2.831367952550380e-005,1.815612e-001
3.018032506348321e-005,1.743730e-001
3.196431787201968e-005,1.571551e-001
3.413265598446165e-005,1.258646e-001
3.656787066637662e-005,8.331365e-002
3.907344510605515e-005,3.638379e-002
4.109796166143950e-005,-5.373869e-004
4.313516848606160e-005,-3.398670e-002
4.517343811986113e-005,-6.164188e-002
4.754516894727622e-005,-8.471613e-002
5.037041910248629e-005,-1.001454e-001
5.257447925821448e-005,-1.026661e-001
5.462470563786299e-005,-9.692224e-002
5.669955682424923e-005,-8.436249e-002
5.917216794880668e-005,-6.280509e-002
6.199436234970149e-005,-3.308294e-002
6.415540089293792e-005,-8.506301e-003
6.622315902518021e-005,1.474884e-002
6.835210052836921e-005,3.663262e-002
7.049115041831029e-005,5.516766e-002
7.264595254991528e-005,6.894305e-002
7.529335798455789e-005,7.889521e-002
7.753989969736902e-005,8.118003e-002
7.961465532751136e-005,7.779963e-002
8.172375177994895e-005,6.957649e-002
8.406152297751399e-005,5.594390e-002
8.723929814541735e-005,3.312608e-002
8.950762959709905e-005,1.542514e-002
9.156943797370196e-005,-5.293004e-004
9.365481158781207e-005,-1.522811e-002
9.575884538847437e-005,-2.763027e-002
9.801366909903589e-005,-3.705370e-002
1.011785663612915e-004,-4.408526e-002
1.033882037424077e-004,-4.454385e-002
1.054462945279542e-004,-4.108779e-002
1.075197691021573e-004,-3.443436e-002
1.103220166563737e-004,-2.208403e-002
1.127213044250786e-004,-9.665758e-003
1.147937624856297e-004,1.723503e-003
1.169311483570372e-004,1.314002e-002
1.190326667281438e-004,2.323958e-002
1.212345052565738e-004,3.191119e-002
1.235760491851899e-004,3.852739e-002
1.258037984743919e-004,4.197036e-002
