Freq.,Vout
1.10917481526240e+003,-1.72682960563829e-002,1.73936229642892e+002
1.11173172728159e+003,-1.72594499362109e-002,1.73922243419800e+002
1.11429453359173e+003,-1.72505632540553e-002,1.73908224901159e+002
1.11686324778056e+003,-1.72416358251634e-002,1.73894174012145e+002
1.11943788346715e+003,-1.72326674639848e-002,1.73880090677761e+002
1.12201845430196e+003,-1.72236579841848e-002,1.73865974822833e+002
1.12460497396692e+003,-1.72146071984649e-002,1.73851826372012e+002
1.12719745617551e+003,-1.72055149188080e-002,1.73837645249773e+002
1.12979591467279e+003,-1.71963809562671e-002,1.73823431380411e+002
1.13240036323555e+003,-1.71872051211283e-002,1.73809184688049e+002
1.13501081567231e+003,-1.71779872227727e-002,1.73794905096628e+002
1.13762728582343e+003,-1.71687270697086e-002,1.73780592529913e+002
1.14024978756117e+003,-1.71594244696416e-002,1.73766246911491e+002
1.14287833478977e+003,-1.71500792293939e-002,1.73751868164768e+002
1.14551294144553e+003,-1.71406911548864e-002,1.73737456212973e+002
1.14815362149688e+003,-1.71312600512274e-002,1.73723010979153e+002
1.15080038894443e+003,-1.71217857225966e-002,1.73708532386177e+002
1.15345325782109e+003,-1.71122679723485e-002,1.73694020356732e+002
1.15611224219210e+003,-1.71027066029250e-002,1.73679474813323e+002
1.15877735615512e+003,-1.70931014158669e-002,1.73664895678277e+002
1.16144861384034e+003,-1.70834522118800e-002,1.73650282873734e+002
1.16412602941049e+003,-1.70737587907025e-002,1.73635636321657e+002
1.16680961706096e+003,-1.70640209512690e-002,1.73620955943822e+002
1.16949939101987e+003,-1.70542384915046e-002,1.73606241661823e+002
1.17219536554813e+003,-1.70444112085161e-002,1.73591493397072e+002
1.17489755493953e+003,-1.70345388985078e-002,1.73576711070793e+002
1.17760597352080e+003,-1.70246213566817e-002,1.73561894604030e+002
1.18032063565173e+003,-1.70146583773863e-002,1.73547043917639e+002
1.18304155572516e+003,-1.70046497540674e-002,1.73532158932291e+002
1.18576874816716e+003,-1.69945952792043e-002,1.73517239568471e+002
1.18850222743701e+003,-1.69844947443737e-002,1.73502285746478e+002
1.19124200802737e+003,-1.69743479402001e-002,1.73487297386425e+002
1.19398810446427e+003,-1.69641546563825e-002,1.73472274408235e+002
1.19674053130724e+003,-1.69539146816928e-002,1.73457216731646e+002
1.19949930314937e+003,-1.69436278039212e-002,1.73442124276207e+002
1.20226443461741e+003,-1.69332938099620e-002,1.73426996961277e+002
1.20503594037179e+003,-1.69229124857171e-002,1.73411834706027e+002
1.20781383510678e+003,-1.69124836161230e-002,1.73396637429440e+002
1.21059813355048e+003,-1.69020069852107e-002,1.73381405050305e+002
1.21338885046497e+003,-1.68914823759947e-002,1.73366137487225e+002
1.21618600064636e+003,-1.68809095705222e-002,1.73350834658608e+002
1.21898959892486e+003,-1.68702883499062e-002,1.73335496482673e+002
1.22179966016487e+003,-1.68596184942399e-002,1.73320122877448e+002
1.22461619926504e+003,-1.68488997826439e-002,1.73304713760765e+002
1.22743923115840e+003,-1.68381319932801e-002,1.73289269050266e+002
1.23026877081238e+003,-1.68273149033085e-002,1.73273788663399e+002
1.23310483322890e+003,-1.68164482888524e-002,1.73258272517420e+002
1.23594743344450e+003,-1.68055319251125e-002,1.73242720529386e+002
1.23879658653036e+003,-1.67945655862207e-002,1.73227132616165e+002
1.24165230759241e+003,-1.67835490453392e-002,1.73211508694425e+002
1.24451461177138e+003,-1.67724820745826e-002,1.73195848680643e+002
1.24738351424294e+003,-1.67613644450950e-002,1.73180152491095e+002
1.25025903021771e+003,-1.67501959269749e-002,1.73164420041864e+002
1.25314117494141e+003,-1.67389762892997e-002,1.73148651248834e+002
1.25602996369487e+003,-1.67277053000862e-002,1.73132846027693e+002
