#Digilent WaveForms Impedance Analyzer
#Device Name: Discovery2
#Serial Number: SN:210321A35FCC
#Date Time: 2019-11-11 16:50:07.959
#Trace: Trace
#Start: 10000 Hz
#Stop: 100000 Hz
#Steps: 151
#Order: W1-C1-R-C2-DUT-GND
#Resistor: 100000 O
#Average: 1
#ProbeResistance: 1.04e+06 O
#ProbeCapacitance: 4.3e-11 F
#Compensation:none
#Wavegen: Wavegen1
#Amplitude: 1 V
#Offset: 0 V
#Amplification: 1 X
#Settle: 0.01 s
#MinPeriods: 16
#Scale: Logarithmic
#Channel: Channel 1
#Range: 5.42537 V
#Offset: 0.000183761 V
#Attenuation: 1 X
#Channel: Channel 2
#Range: 5.47028 V
#Offset: -7.92091e-07 V
#Attenuation: 1 X

Frequency (Hz),Trace th (*),Trace |Z| (Ohm)
38607.05432153813,10.63203320476026,74401.79298116051
39204.26655270153,10.71077888359011,74222.36484591926
39810.71705534972,10.81146754590391,74185.91654424986
40426.54873623443,10.88661303989237,74077.54591649657
41051.90671273079,11.04601959379153,74030.10443675359
41686.93834703355,11.07799541803583,73875.09026096715
42331.79328088209,11.11104062075664,73761.38126502583
42986.62347082276,11.16762925752351,73657.18425903462
43651.5832240166,11.29770945548431,73621.74989074284
44326.82923460088,11.25846751539315,73606.54896044228
45012.52062061337,11.16375825632702,73334.05580521301
45708.81896148751,11.17234850585711,73451.74810872364
46415.88833612778,11.10809626664772,73408.89230593313
47133.89536157405,10.98791142751302,73424.46015030603
47863.00923226384,10.81967663165176,73411.72322729041
48603.40175990217,10.59690510828242,73561.76562928392
49355.24741394807,10.15459982820844,73453.99704965804
50118.72336272722,9.41550881054804,73516.15462890589
50894.00951518089,8.751450350667605,73418.47368052146
51681.28856326035,7.569237632171483,73265.84624808059
52480.74602497726,5.953508238755082,72369.69510833363
53292.57028812004,3.952662325818178,70828.80405390951
54116.95265464637,1.930307307124113,67864.94138019672
54954.08738576245,0.6938699598983709,62936.81441306236
55804.17174769965,1.968126452604436,57747.5007904732
56667.40605819912,5.60129053458243,54279.56314958789
57543.9937337157,9.824178377565909,53177.27285916411
58434.14133735176,12.9757923773771,53525.66816249513
59338.0586275328,15.05631741648252,54318.25016711912
60255.95860743578,16.4933583408993,55227.01078066437
61188.05757518219,17.51541396187395,55968.2531452183
62134.57517480757,18.12726698540299,56410.10253376043
63095.73444801934,18.599891008253,56748.5476133792
64071.76188675538,18.9350608967294,57176.24579592581
65062.88748655572,19.39815890284612,57287.31247251816
66069.34480075959,19.62641279195434,57390.30997260536
67091.37099554112,19.89655162434179,57400.69622278764
68129.20690579613,20.12360872728825,57257.09409598378
69183.09709189364,20.39411074269292,57220.39978330662
70253.28989730522,20.5649429077171,57064.64196494201
71340.03750712563,20.91190109346756,56891.38558837266
72443.596007499,21.02537447123374,56631.21760736765
73564.22544596414,21.34909726578268,56355.02722122831
74702.18989273315,21.63197397992914,56043.61500684075
75857.75750291838,21.77518849826278,55710.30398621382
77031.20057972147,22.05663895373772,55444.28553420881
78222.79563860025,22.21714603153595,54895.36841121148
79432.82347242815,22.44374576496573,54875.19789785991
80661.56921766134,22.74265738023562,54426.18261748951
81909.32242152972,22.86886398902086,54038.10303468419
83176.3771102671,23.18007184212576,53629.94174430044
84463.03185839685,23.40084735318712,53321.27465586835
85769.58985908941,23.72498172339463,52785.64348123018
87096.35899560805,23.89301783218912,52330.46338704761
88443.65191385997,24.15654981813286,51977.59772238298
89811.78609606945,24.38769450285974,51555.41756920621
91201.08393559097,24.73977126796761,51037.54647465704
92611.87281287934,24.86213042900579,50732.93757821761
94044.48517263518,25.29990838792403,50226.41848337951
95499.25860214359,25.4410644828697,49785.45467909604
96976.53591082494,25.77743651738941,49235.49462749509
98476.66521101582,25.48081311836894,48570.25255510463
100000,26.11178531913477,48335.19371230973
