#Digilent WaveForms Network Analyzer - Bode
#Device Name: Discovery2
#Serial Number: SN:210321A35FCC
#Date Time: 2019-11-11 16:42:07.681
#Start: 40000 Hz
#Stop: 70000 Hz
#Steps: 151
#Wavegen: Wavegen1
#Amplification: 1 X
#Settle: 10 ms
#MinPeriods: 16 
#Channel: Channel 1
#Range: 5.42537 V
#Offset: 0.000183761 V
#Relative: no
#Channel: Channel 2
#Range: 5.47028 V
#Offset: -7.92091e-07 V
#Relative: yes

Frequency (Hz),Channel 1 Magnitude (dB),Channel 2 Magnitude (dB),Channel 2 Phase (*)
44239.15673737389,0.01665283633032965,-13.67117879832112,-101.4406518190235
44404.51119917389,0.0188848675150714,-13.53353497499983,-101.5903115615854
44570.48371294535,0.01668843386613817,-13.39668462993559,-101.7470688909354
44737.07658880579,0.01723806090951,-13.25412692564975,-101.9434771916216
44904.29214550735,0.01220548547094774,-13.11453796581554,-102.1281332475343
45072.13271046906,0.007280095706976179,-12.97004512773776,-102.3589153733182
45240.60061980924,0.005831015572304282,-12.82216119067207,-102.5717472029113
45409.69821837801,0.01421083443569769,-12.67759145169498,-102.7627616522176
45579.42785978994,0.017646211802363,-12.52450708619015,-102.9870664325144
45749.79190645678,0.01945325140832003,-12.37355203123019,-103.2135583206175
45920.79272962037,0.0199682907125687,-12.22057491252845,-103.457313032364
46092.43270938566,0.0183376554877808,-12.05914367279695,-103.713109670316
46264.71423475374,0.01975934949111708,-11.89756506617206,-103.9387836177932
46437.63970365527,0.01847110301080101,-11.7356324062961,-104.2239641772808
46611.21152298368,0.01994779204685913,-11.56469432915562,-104.4947459674046
46785.43210862875,0.01938705053008872,-11.40124109153686,-104.7553140917638
46960.30388551022,0.02182090658662714,-11.23099772500762,-105.0583390478237
47135.8292876116,0.01877880775903225,-11.0512264675852,-105.3428988539157
47312.01075801394,0.01864188770187735,-10.87549371644182,-105.6932048759094
47488.85074892989,0.01204567740459837,-10.69222286682884,-106.0207658493577
47666.35172173791,0.008506344267187344,-10.50511749059028,-106.3607970174951
47844.51614701636,0.01615667766293014,-10.31803384199362,-106.7332915430489
48023.34650457803,0.01879731964025737,-10.12446292281916,-107.0923374770667
48202.8452835046,0.02134732031025523,-9.928840686470522,-107.4711926941003
48383.01498218127,0.02152176767884824,-9.723033108589801,-107.9146782977906
48563.85810833158,0.02162573794605213,-9.525594197794302,-108.3474505484302
48745.37717905226,0.02152209249534324,-9.313590242659705,-108.7884103821606
48927.57472084833,0.01914316840059124,-9.100629145608284,-109.2654433152303
49110.45326966819,0.02157111867381311,-8.882110028399271,-109.7759649691688
49294.01537093898,0.02020325564095912,-8.658410147559918,-110.3071589408915
49478.26357960198,0.02326446321550034,-8.43313763191423,-110.8645755386159
49663.20046014816,0.02172885009997079,-8.199138872473329,-111.428746503545
49848.82858665393,0.02089458828389047,-7.959641931840712,-112.0448639364753
50035.15054281687,0.0194049332775233,-7.715331128379744,-112.7037551874936
50222.16892199181,0.0120768300786506,-7.465932349879338,-113.4078845477132
50409.88632722681,0.009636267970322755,-7.212364448350103,-114.1313069528554
50598.30537129951,0.01712521148517942,-6.949189483770617,-114.8902993281385
50787.42867675336,0.02056665700152909,-6.678055580675961,-115.7246780033959
50977.25887593426,0.02243757737285274,-6.404617566864691,-116.5994566341258
51167.79861102709,0.02379875919887068,-6.123180350631452,-117.5391191327985
51359.05053409256,0.02317255500308064,-5.832947156796214,-118.5485410864772
51551.01730710407,0.02368273948405335,-5.537618576993305,-119.6424762052139
51743.70160198479,0.02352523805190852,-5.235064972171283,-120.767771213999
51937.10610064487,0.02354885296981474,-4.927564315337991,-122.011862484194
52131.2334950187,0.02301314451288972,-4.608858285017224,-123.3499550328848
52326.08648710244,0.02462312293362498,-4.290169348278912,-124.7794593500144
52521.66778899162,0.02398927125419415,-3.958981239531403,-126.3174323882277
52717.98012291888,0.02272782039695872,-3.622842057092352,-127.9806929429649
52915.02622129182,0.02205332693452385,-3.281205191816451,-129.7928411113522
53112.8088267311,0.0199241149682005,-2.938030919206321,-131.7499658271043
53311.33069210859,0.01387779106568594,-2.590489575060336,-133.8639675203471
53510.59458058565,0.01493864729283647,-2.240526497881903,-136.1593023630604
53710.60326565165,0.02053584006288786,-1.894617612574695,-138.6578385761512
53911.35953116252,0.02316386385866422,-1.550834999089588,-141.3491526678487
54112.86617137954,0.02497568066457137,-1.21299606309162,-144.2752581600205
54315.12599100816,0.0255395161513508,-0.8905565522129901,-147.4240272911329
54518.14180523717,0.02637447718450643,-0.5822922827221191,-150.8105513176385
54721.91643977774,0.02613095077538832,-0.2973652963278007,-154.4436940673838
54926.45273090283,0.02619561996588044,-0.04127116867714327,-158.2955398613063
55131.75352548667,0.0263707816277671,0.180796878995187,-162.3507007855773
55337.82168104434,0.02617390117100965,0.3613542864429217,-166.6032226339825
55544.66006577158,0.0275927234116847,0.4956440556100682,-170.9884321866676
55752.2715585847,0.02599876494267047,0.5806215818898429,-175.4940763620494
55960.65904916064,0.02522101306151483,0.6097342087300532,179.9734513905537
56169.82543797723,0.02135777627143326,0.5903588479375049,175.4450373301059
56379.7736363535,0.01444349425257525,0.5154184117385919,170.9685477137862
