Frequency (Hz);Channel 2 Magnitude (dB);Channel 2 Phase (*)
50598.30537;-19.7469214;142.9757339
50787.42868;-19.34203272;141.8606722
50977.25888;-18.91933837;140.8244177
51167.79861;-18.47101192;139.6604994
51359.05053;-18.04276373;138.4649241
51551.01731;-17.5922117;137.0936971
51743.7016;-17.11891411;135.7083746
51937.1061;-16.65831602;134.2416359
52131.2335;-16.17455293;132.6842132
52326.08649;-15.68930899;130.8747571
52521.66779;-15.18657279;129.0770856
52717.98012;-14.68063078;127.0924966
52915.02622;-14.17069713;124.9597951
53112.80883;-13.63335471;122.7055011
53311.33069;-13.11049386;120.2327582
53510.59458;-12.5733561;117.613275
53710.60327;-12.03810451;114.7755611
53911.35953;-11.49410473;111.6641343
54112.86617;-10.95913377;108.3537579
54315.12599;-10.43462248;104.78014
54518.14181;-9.91859318;100.9346473
54721.91644;-9.422344259;96.87171808
54926.45273;-8.950551362;92.52428172
55131.75353;-8.505556237;87.95775547
55337.82168;-8.096941618;83.17928447
55544.66007;-7.734085477;78.19516631
55752.27156;-7.407407712;73.09907656
55960.65905;-7.133309875;67.92590104
56169.82544;-6.903800874;62.70421072
56379.77364;-6.727133193;57.48615147
56590.50657;-6.590666645;52.34276689
56802.02716;-6.494166342;47.32927459
57014.33837;-6.427087519;42.42129632
57227.44313;-6.394328988;37.66178769
57441.34443;-6.382913888;33.07047646
57656.04524;-6.389187439;28.63851945
57871.54854;-6.400114641;24.36517958
58087.85734;-6.424902175;20.22376932
58304.97464;-6.450472279;16.21742511
58522.90347;-6.471178042;12.32943545
58741.64686;-6.492476001;8.504001748
58961.20786;-6.506840875;4.744915666
59181.58952;-6.515306387;1.040180295
59402.79491;-6.514170757;-2.670633674
59624.82711;-6.510478925;-6.404641149
59847.6892;-6.499890366;-10.15347814
60071.3843;-6.481982281;-13.97322184
60295.91551;-6.460616424;-17.88423652
60521.28596;-6.440886839;-21.90383016
60747.49878;-6.422969975;-26.01862253
60974.55714;-6.410183036;-30.30724972
61202.46417;-6.408810743;-34.74625767
61431.22306;-6.426860142;-39.32868104
61660.837;-6.471226253;-44.05454957
61891.30917;-6.537281198;-48.95319057
62122.64279;-6.642386553;-53.93546163
62354.84107;-6.787323313;-59.02608749
62587.90725;-6.972054438;-64.16875228
62821.84456;-7.210265535;-69.27865308
63056.65628;-7.490706284;-74.36996673
63292.34566;-7.815032814;-79.35677648
63528.91599;-8.188426137;-84.16358262
63766.37055;-8.58979444;-88.82553007
64004.71266;-9.032451187;-93.23663448
64243.94563;-9.497951344;-97.46490908
64484.07279;-9.989953479;-101.4182564
64725.09748;-10.49375639;-105.1143818
64967.02306;-11.01490197;-108.5852643
65209.8529;-11.53941671;-111.8230116
65453.59037;-12.06434729;-114.818831
65698.23886;-12.58918842;-117.657096
65943.80179;-13.10829693;-120.2076122
66190.28257;-13.63591197;-122.6398289
66437.68463;-14.15152272;-124.8926682
66686.01142;-14.65974868;-127.0241999
66935.26639;-15.16277898;-128.9250524
67185.453;-15.64937042;-130.7789502
67436.57475;-16.1312684;-132.4664075
67688.63513;-16.60924794;-134.0592359
67941.63764;-17.07027929;-135.4722984
68195.58581;-17.52734557;-136.9662325
68450.48318;-17.96179424;-138.2414529
68706.33328;-18.4109654;-139.4984452
68963.13968;-18.83265906;-140.7535161
69220.90596;-19.26251119;-141.8179759
69479.63571;-19.6778193;-142.8252327
69739.33251;-20.06638721;-143.9303617
70000;-20.46434856;-144.8354909
