#Digilent WaveForms Network Analyzer - Bode
#Device Name: Discovery2
#Serial Number: SN:210321A35FCC
#Date Time: 2019-11-11 16:41:04.415
#Start: 40000 Hz
#Stop: 70000 Hz
#Steps: 151
#Wavegen: Wavegen1
#Amplification: 1 X
#Settle: 10 ms
#MinPeriods: 16 
#Channel: Channel 1
#Range: 5.42537 V
#Offset: 0.000183761 V
#Relative: no
#Channel: Channel 2
#Range: 5.47028 V
#Offset: -7.92091e-07 V
#Relative: yes

Frequency (Hz),Channel 1 Magnitude (dB),Channel 2 Magnitude (dB),Channel 2 Phase (*)
44239.15673737389,0.01575212046449214,-30.63883587270564,161.1626595500548
44404.51119917389,0.01642336978072034,-30.41230690333333,161.0281596165462
44570.48371294535,0.01663739362012585,-30.20420210330372,160.7434314590072
44737.07658880579,0.01437299374532054,-29.94885254677701,160.463688344974
44904.29214550735,0.01122129212073103,-29.69611470175476,160.1009812045158
45072.13271046906,0.004038049352633665,-29.45543396154029,159.8087800261282
45240.60061980924,0.00469906686947911,-29.2296715774232,159.5383525012705
45409.69821837801,0.01205755004576378,-28.98825411479411,159.1168657603738
45579.42785978994,0.01742351356772238,-28.72481571522118,158.8774689996042
45749.79190645678,0.01731448659248409,-28.4766773015447,158.5259611956653
45920.79272962037,0.01772839147489525,-28.21428200063717,158.2839591243918
46092.43270938566,0.01721371288554151,-27.95454174399068,157.7629184493605
46264.71423475374,0.01749985257029355,-27.69639830682577,157.6315694006499
46437.63970365527,0.01519430234131824,-27.41398779100167,157.216312283573
46611.21152298368,0.01602913142409141,-27.13152697823034,156.7691371418038
46785.43210862875,0.02111845027298219,-26.83610380912105,156.3688500344903
46960.30388551022,0.01887143054579345,-26.57733109994659,155.9540170985558
47135.8292876116,0.01648221687241698,-26.26688279093833,155.5758927868392
47312.01075801394,0.01661279787115056,-26.00337992966775,155.0915516921619
47488.85074892989,0.007484972708318677,-25.67806315559308,154.5967941081018
47666.35172173791,0.005286666178418573,-25.39970505979415,154.194617692167
47844.51614701636,0.0134470481249166,-25.08158980231157,153.561090233261
48023.34650457803,0.01805296952735443,-24.77353485686124,153.1614013514954
48202.8452835046,0.01957244172985506,-24.45799152479425,152.6313880093082
48383.01498218127,0.02107709767558953,-24.13901743197523,152.0333979867958
48563.85810833158,0.01990092077537386,-23.79839217576533,151.496205320345
48745.37717905226,0.01841354525010141,-23.46187692902969,150.8287016650747
48927.57472084833,0.01904636527327888,-23.12159364862027,150.3165910544643
49110.45326966819,0.01931213962135361,-22.77977400670029,149.6078211462598
49294.01537093898,0.01955459860868274,-22.43843347254009,148.8031489434171
49478.26357960198,0.02157182577347582,-22.07442426843873,148.2096208457311
49663.20046014816,0.02191859538414671,-21.70297451662392,147.4242823634123
49848.82858665393,0.01924602514057449,-21.32306241376892,146.6166297477218
50035.15054281687,0.01609686829814535,-20.94369471746271,145.7882475062235
50222.16892199181,0.01126931877924691,-20.55318636545845,144.8673162973818
50409.88632722681,0.008349442182521222,-20.14923648915327,143.9449857650581
50598.30537129951,0.01405592969448534,-19.74692139628217,142.9757339373515
50787.42867675336,0.02065776512845361,-19.34203272285299,141.8606721521974
50977.25887593426,0.02229568894530902,-18.91933837453424,140.8244177366158
51167.79861102709,0.02179309472461604,-18.47101192220719,139.6604993814051
51359.05053409256,0.02267446423518607,-18.04276372678019,138.4649240674656
51551.01730710407,0.02102597545929918,-17.5922116998617,137.0936970712278
51743.70160198479,0.02062005058515896,-17.11891410944329,135.7083746051942
51937.10610064487,0.02181751536683259,-16.65831601619907,134.2416358978539
52131.2334950187,0.02071345236440619,-16.17455293325192,132.6842132215788
52326.08648710244,0.02173791169623329,-15.68930899060615,130.8747570791278
52521.66778899162,0.02261333368311918,-15.18657279266319,129.0770855777099
52717.98012291888,0.02413614698744755,-14.6806307756603,127.0924965727748
52915.02622129182,0.02086008446009892,-14.17069713251225,124.959795098725
53112.8088267311,0.01804298298229172,-13.63335471427752,122.7055010842901
53311.33069210859,0.01280896653560002,-13.11049385926221,120.2327582320335
53510.59458058565,0.0132519391501759,-12.57335610383127,117.6132750280102
53710.60326565165,0.02051807844985385,-12.03810451269939,114.7755611489038
53911.35953116252,0.02321163643278442,-11.49410473419471,111.664134336511
54112.86617137954,0.02420488235395118,-10.95913376844583,108.3537578802831
54315.12599100816,0.02405317333882242,-10.43462247628977,104.7801400328308
54518.14180523717,0.02447280769123172,-9.918593180415826,100.9346472989465
54721.91643977774,0.02360957418644588,-9.422344259099976,96.87171807996933
