Frequency (Hz),Trace th (*),Trace |Z| (Ohm)
46785.43210862875,11.01928859875584,73364.36670650551
46960.30388551022,10.86966888186575,73449.47226914854
47135.8292876116,11.02845229766151,73351.43780922728
47312.01075801394,10.89296442300765,73461.15272939157
47488.85074892989,10.89867155414986,73530.51540473386
47666.35172173791,10.96966995747306,73600.00960071471
47844.51614701636,10.7141579814431,73407.55416924269
48023.34650457803,10.70707216998899,73420.08602833102
48202.8452835046,10.58171524562718,73459.37183350668
48383.01498218127,10.64217004617369,73552.96282249471
48563.85810833158,10.57052024160477,73414.41432821011
48745.37717905226,10.50648610269339,73540.42029515597
48927.57472084833,10.31792223020437,73497.72233937903
49110.45326966819,10.24259448387702,73410.83610967566
49294.01537093898,10.07669585180414,73424.42161977585
49478.26357960198,9.987802995024586,73406.95353150408
49663.20046014816,9.769261381208301,73398.85849678917
49848.82858665393,9.76419128205325,73302.08330354733
50035.15054281687,9.651917790264106,73459.68046258675
50222.16892199181,9.3869871455096,73585.99169334705
50409.88632722681,9.251254897161855,73504.31360155367
50598.30537129951,9.085717715714019,73470.18441314276
50787.42867675336,8.79342521668891,73384.22001795967
50977.25887593426,8.609331560122103,73516.10778042096
51167.79861102709,8.272565064536423,73403.71303332339
51359.05053409256,7.9634062466941,73102.15661782451
51551.01730710407,7.910180856934472,73248.52097004828
51743.70160198479,7.308940864897431,72901.76543207333
51937.10610064487,7.207567570766472,73061.56440728065
52131.2334950187,6.740757169165631,72793.79733984698
52326.08648710244,6.392422661065323,72597.49394001876
52521.66778899162,5.957507675750788,72263.57797404128
52717.98012291888,5.465919135357405,72011.85581837803
52915.02622129182,5.087094746447325,71743.74685053427
53112.8088267311,4.514261086986991,71381.37414110526
53311.33069210859,4.038029820399947,70872.74084875852
53510.59458058565,3.469581493509155,70303.19008414267
53710.60326565165,2.827188263297509,69723.18545133801
53911.35953116252,2.269987534598682,68726.66679155412
54112.86617137954,1.871774499981662,67774.73149122547
54315.12599100816,1.505962845075564,66920.38283509006
54518.14180523717,1.100622373063769,65642.01156530187
54721.91643977774,0.958782647834949,64569.61071216926
54926.45273090283,0.6920316956632921,63232.02527432029
55131.75352548667,0.7717779766299755,61930.80744729051
55337.82168104434,0.8589710367501118,60553.42114941517
55544.66006577158,1.423773136517977,59234.02731716205
55752.2715585847,1.731443978497239,57998.2187658024
55960.65904916064,2.550183657433434,56960.00053965741
56169.82543797723,3.301477857582506,55908.39161144298
56379.7736363535,4.189445268271433,55082.34843024662
56590.50656649024,5.246725623656793,54434.50674052628
56802.02716151067,6.212460497144232,54007.9049253212
57014.33836550126,7.28623259644922,53467.26656302674
57227.44313355273,8.31852485126098,53239.30479023607
57441.34443180114,9.093473520082981,53152.11977673566
57656.04523746918,10.13885226338647,53177.53914897783
57871.54853890766,11.14125875909644,53258.68078624743
58087.85733563704,11.9174185884184,53282.17384520578
58304.97463838923,12.52887709983129,53477.34622188076
58522.90346914944,13.40989926864697,53501.09567629766
58741.6468611983,13.88589215927323,53787.85192426429
58961.20785915406,14.3722529324995,54039.08863438836
59181.58951901495,14.83192612703655,54213.52540668141
59402.79490820173,15.23772620609805,54380.30233494852
59624.82710560037,15.62294921482735,54729.96479842283
59847.68920160491,16.01538747092167,54800.14702733068
60071.3842981605,16.21152017525441,55211.17541214716
60295.91550880657,16.64822196813753,55213.58924872528
60521.2859587201,16.83903066129388,55443.25516189169
60747.49878475921,17.07839226168591,55632.98979159665
60974.55713550674,17.29151680009216,55741.16520859268
61202.46417131418,17.51538992010101,55862.77327905026
61431.22306434552,17.64134527792665,56127.80140448741
