Freq.	V(vout_highq)
1.62566103232819e+004	(-1.63048110441940e+001dB,-6.54508745708560e+001°)
1.66352754220534e+004	(-1.45357434645164e+001dB,-6.92263556708676e+001°)
1.70227607640475e+004	(-1.27601585823646e+001dB,-7.35681014580274e+001°)
1.74192717991216e+004	(-1.09776695602259e+001dB,-7.86123773271292e+001°)
1.78250187626749e+004	(-9.19456790464915e+000dB,-8.45299334267773e+001°)
1.82402167871182e+004	(-7.42819832969953e+000dB,-9.15230107217523e+001°)
1.86650860159398e+004	(-5.71319742335858e+000dB,-9.98026890306553e+001°)
1.90998517204287e+004	(-4.10786182608650e+000dB,-1.09526005561196e+002°)
1.95447444191162e+004	(-2.69441980685932e+000dB,-1.20676887596089e+002°)
2.00000000000000e+004	(-1.56238257075346e+000dB,-1.32925347827190e+002°)
2.04658598456150e+004	(-7.71501422608900e-001dB,-1.45594994863209e+002°)
2.09425709610179e+004	(-3.17289626540876e-001dB,-1.57863161229148e+002°)
2.14303861047521e+004	(-1.33301246594646e-001dB,-1.69084189519442e+002°)
2.19295639228637e+004	(-1.27631412477512e-001dB,-1.78965265603410e+002°)
2.24403690860392e+004	(-2.18331543708472e-001dB,1.72485160062223e+002°)
2.29630724299376e+004	(-3.47780561287694e-001dB,1.65100374206331e+002°)
2.34979510987905e+004	(-4.81251062130886e-001dB,1.58668838835899e+002°)
2.40452886923482e+004	(-6.00284869023505e-001dB,1.52991836453678e+002°)
2.46053754162476e+004	(-6.96518528571981e-001dB,1.47903237206966e+002°)
2.51785082358833e+004	(-7.67380562280440e-001dB,1.43271291249742e+002°)
2.57649910338626e+004	(-8.13434543582237e-001dB,1.38993993864889e+002°)
2.63651347711281e+004	(-8.36832936221117e-001dB,1.34993167885094e+002°)
2.69792576518330e+004	(-8.40446286035998e-001dB,1.31209123861400e+002°)
2.76076852920576e+004	(-8.27383617916730e-001dB,1.27596362672812e+002°)
2.82507508924550e+004	(-8.00733951697140e-001dB,1.24120277323317e+002°)
