Freq.	V(n006)/V(n015)
1.07646521362983e+003	(-4.09082473173005e+001dB,-2.48929784260099e+000°)
1.07894672222983e+003	(-4.09096895556415e+001dB,-2.49500657721742e+000°)
1.08143395129794e+003	(-4.09111386715483e+001dB,-2.50072825676030e+000°)
1.08392691402120e+003	(-4.09125946136919e+001dB,-2.50646290015464e+000°)
1.08642562361706e+003	(-4.09140575876423e+001dB,-2.51221055441228e+000°)
1.08893009333343e+003	(-4.09155272845208e+001dB,-2.51797121029421e+000°)
1.09144033644875e+003	(-4.09170040823306e+001dB,-2.52374493379786e+000°)
1.09395636627209e+003	(-4.09184880167063e+001dB,-2.52953175355017e+000°)
1.09647819614318e+003	(-4.09199789501995e+001dB,-2.53533167909999e+000°)
1.09900583943252e+003	(-4.09214769176144e+001dB,-2.54114473891751e+000°)
1.10153930954141e+003	(-4.09229819539432e+001dB,-2.54697096153413e+000°)
1.10407861990207e+003	(-4.09244941816028e+001dB,-2.55281038523923e+000°)
1.10662378397766e+003	(-4.09260136365592e+001dB,-2.55866303880372e+000°)
1.10917481526240e+003	(-4.09275402673295e+001dB,-2.56452894124638e+000°)
1.11173172728159e+003	(-4.09290742853512e+001dB,-2.57040814100738e+000°)
1.11429453359173e+003	(-4.09306155516739e+001dB,-2.57630064736129e+000°)
1.11686324778056e+003	(-4.09321641024187e+001dB,-2.58220648915777e+000°)
1.11943788346715e+003	(-4.09337200623662e+001dB,-2.58812570528125e+000°)
1.12201845430196e+003	(-4.09352834686408e+001dB,-2.59405832482311e+000°)
1.12460497396692e+003	(-4.09368542696935e+001dB,-2.60000436684521e+000°)
1.12719745617551e+003	(-4.09384325024204e+001dB,-2.60596386041046e+000°)
1.12979591467279e+003	(-4.09400182932100e+001dB,-2.61193684479952e+000°)
1.13240036323555e+003	(-4.09416116799813e+001dB,-2.61792334931625e+000°)
1.13501081567231e+003	(-4.09432126111440e+001dB,-2.62392339305456e+000°)
1.13762728582343e+003	(-4.09448212143142e+001dB,-2.62993701559678e+000°)
1.14024978756117e+003	(-4.09464374378907e+001dB,-2.63596423604721e+000°)
1.14287833478977e+003	(-4.09480614103047e+001dB,-2.64200509419118e+000°)
1.14551294144553e+003	(-4.09496930799521e+001dB,-2.64805960914127e+000°)
1.14815362149688e+003	(-4.09513325760925e+001dB,-2.65412782088850e+000°)
1.15080038894443e+003	(-4.09529797561545e+001dB,-2.66020973799138e+000°)
1.15345325782109e+003	(-4.09546348407723e+001dB,-2.66630541111235e+000°)
1.15611224219210e+003	(-4.09562979610951e+001dB,-2.67241488069490e+000°)
1.15877735615512e+003	(-4.09579688829540e+001dB,-2.67853814460029e+000°)
1.16144861384034e+003	(-4.09596478288829e+001dB,-2.68467525394715e+000°)
1.16412602941049e+003	(-4.09613348392888e+001dB,-2.69082623867889e+000°)
1.16680961706096e+003	(-4.09630297703223e+001dB,-2.69699110707850e+000°)
1.16949939101987e+003	(-4.09647329388868e+001dB,-2.70316992163167e+000°)
1.17219536554813e+003	(-4.09664441086886e+001dB,-2.70936267970841e+000°)
1.17489755493953e+003	(-4.09681635054724e+001dB,-2.71556943319667e+000°)
1.17760597352080e+003	(-4.09698910776381e+001dB,-2.72179020124694e+000°)
1.18032063565173e+003	(-4.09716270528776e+001dB,-2.72802503620524e+000°)
1.18304155572516e+003	(-4.09733711931978e+001dB,-2.73427393503982e+000°)
1.18576874816716e+003	(-4.09751236332014e+001dB,-2.74053693904089e+000°)
1.18850222743701e+003	(-4.09768845085952e+001dB,-2.74681408975006e+000°)
1.19124200802737e+003	(-4.09786538619910e+001dB,-2.75310541765576e+000°)
1.19398810446427e+003	(-4.09804316418364e+001dB,-2.75941094190859e+000°)
1.19674053130724e+003	(-4.09822177959250e+001dB,-2.76573068150717e+000°)
